Date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,0.085840,0.077230,0.093070,0.080800,0.080800,4900
2010-07-20,0.080800,0.074260,0.081810,0.074740,0.074740,2000
2010-07-21,0.074740,0.066340,0.079210,0.079210,0.079210,4200
2010-07-22,0.079210,0.050500,0.081810,0.050500,0.050500,12900
2010-07-23,0.050500,0.050500,0.067670,0.062620,0.062620,14100
2010-07-26,0.050500,0.050000,0.056000,0.056000,0.056000,4600
2010-07-27,0.056000,0.053000,0.060500,0.060000,0.060000,19600
2010-07-28,0.060000,0.054000,0.062000,0.058900,0.058900,25500
2010-07-29,0.058900,0.057100,0.069900,0.069900,0.069900,52800
2010-07-30,0.069900,0.058200,0.069800,0.062700,0.062700,19800
2010-08-02,0.061100,0.060000,0.063300,0.060000,0.060000,22100
2010-08-03,0.060000,0.059000,0.065000,0.060000,0.060000,60600
2010-08-04,0.060000,0.057000,0.062310,0.057000,0.057000,21000
2010-08-05,0.057000,0.058000,0.061000,0.061000,0.061000,30300
2010-08-06,0.061000,0.060700,0.062400,0.062300,0.062300,8500
2010-08-09,0.060900,0.059300,0.073500,0.071000,0.071000,88600
2010-08-10,0.071000,0.066510,0.070900,0.070000,0.070000,8800
2010-08-11,0.070000,0.060000,0.075410,0.067000,0.067000,101500
2010-08-12,0.067000,0.061410,0.070000,0.070000,0.070000,13400
2010-08-13,0.070000,0.064500,0.068000,0.064500,0.064500,23300
2010-08-16,0.065290,0.062000,0.067900,0.065500,0.065500,69600
2010-08-17,0.065500,0.062430,0.076900,0.070000,0.070000,91500
2010-08-18,0.070000,0.067000,0.073300,0.068000,0.068000,20300
2010-08-19,0.068000,0.066700,0.067900,0.066700,0.066700,5000
2010-08-20,0.066700,0.065000,0.066700,0.065500,0.065500,27600
2010-08-23,0.066000,0.063000,0.066890,0.064910,0.064910,28100
2010-08-24,0.064910,0.064910,0.066500,0.065000,0.065000,44400
2010-08-25,0.065000,0.064100,0.066500,0.064800,0.064800,27800
2010-08-26,0.064800,0.064000,0.065800,0.064000,0.064000,25100
2010-08-27,0.064000,0.063000,0.065000,0.065000,0.065000,58300
2010-08-30,0.064000,0.032110,0.069000,0.064970,0.064970,213500
2010-08-31,0.064970,0.060000,0.064900,0.060000,0.060000,93300
2010-09-01,0.060000,0.059610,0.062900,0.062900,0.062900,43600
2010-09-02,0.062900,0.060100,0.063400,0.063400,0.063400,49800
2010-09-03,0.063400,0.060850,0.063000,0.060850,0.060850,5400
2010-09-06,0.061600,0.061600,0.062700,0.061600,0.061600,5600
2010-09-07,0.061600,0.060300,0.062010,0.061000,0.061000,21200
2010-09-08,0.061000,0.060990,0.062000,0.062000,0.062000,14300
2010-09-09,0.062000,0.061090,0.062400,0.061110,0.061110,10700
2010-09-10,0.061110,0.060140,0.061800,0.061800,0.061800,30100
2010-09-13,0.061500,0.060700,0.064000,0.062190,0.062190,63200
2010-09-14,0.062190,0.061000,0.175000,0.061990,0.061990,87600
2010-09-15,0.061990,0.060400,0.062500,0.060400,0.060400,22300
2010-09-16,0.060400,0.061800,0.061900,0.061900,0.061900,4500
2010-09-17,0.061900,0.059000,0.060900,0.059000,0.059000,43800
2010-09-20,0.062700,0.062000,0.063400,0.062100,0.062100,89100
2010-09-21,0.062100,0.062300,0.063300,0.062650,0.062650,35900
2010-09-22,0.062650,0.061470,0.062400,0.062200,0.062200,71700
2010-09-23,0.062200,0.061500,0.063000,0.062310,0.062310,97000
2010-09-24,0.062310,0.062090,0.062400,0.062200,0.062200,4200
2010-09-27,0.062000,0.061900,0.062280,0.062200,0.062200,66800
2010-09-28,0.062200,0.061700,0.062710,0.061900,0.061900,43900
2010-09-29,0.061900,0.061500,0.062000,0.061910,0.061910,145000
2010-09-30,0.061910,0.061550,0.061900,0.061900,0.061900,48800
2010-10-01,0.061900,0.061890,0.062000,0.061970,0.061970,10600
2010-10-04,0.061110,0.060810,0.062000,0.061300,0.061300,207900
2010-10-05,0.061300,0.060900,0.063010,0.061400,0.061400,169900
2010-10-06,0.061400,0.061200,0.063500,0.062810,0.062810,209100
2010-10-07,0.062810,0.062800,0.067000,0.067000,0.067000,281200
2010-10-08,0.067000,0.010000,0.088000,0.086850,0.086850,1078400
2010-10-11,0.096500,0.091000,0.103000,0.095000,0.095000,139500
2010-10-12,0.095000,0.082000,0.099000,0.094900,0.094900,239600
2010-10-13,0.094900,0.092000,0.105000,0.105000,0.105000,455800
2010-10-14,0.105000,0.065000,0.104500,0.102000,0.102000,370100
2010-10-15,0.102000,0.092000,0.119000,0.105000,0.105000,255400
2010-10-18,0.102000,0.097000,0.103000,0.102400,0.102400,259100
2010-10-19,0.102400,0.097000,0.101900,0.097000,0.097000,62300
2010-10-20,0.097000,0.094000,0.103000,0.099000,0.099000,322100
2010-10-21,0.099000,0.097000,0.109000,0.107000,0.107000,461600
2010-10-22,0.107000,0.101500,0.109000,0.102500,0.102500,366500
2010-10-25,0.115000,0.090090,0.190000,0.132000,0.132000,445000
2010-10-26,0.132000,0.133000,0.180000,0.150300,0.150300,299500
2010-10-27,0.150300,0.151000,0.190000,0.187700,0.187700,1159400
2010-10-28,0.187700,0.173100,0.191000,0.173100,0.173100,400900
2010-10-29,0.173100,0.173000,0.190000,0.190000,0.190000,538000
2010-11-01,0.192500,0.172000,0.195500,0.195500,0.195500,404900
2010-11-02,0.195500,0.190500,0.195000,0.193800,0.193800,112100
2010-11-03,0.193800,0.125000,0.275000,0.193100,0.193100,1176900
2010-11-04,0.193100,0.193400,0.236000,0.230000,0.230000,622900
2010-11-05,0.230000,0.210100,0.263900,0.260000,0.260000,875700
2010-11-08,0.340000,0.226100,0.370000,0.243000,0.243000,3833900
2010-11-09,0.243000,0.199000,0.323000,0.210000,0.210000,1280800
2010-11-10,0.210000,0.140000,0.240000,0.240000,0.240000,611000
2010-11-11,0.240000,0.210000,0.240000,0.223100,0.223100,111100
2010-11-12,0.223100,0.223000,0.290000,0.268200,0.268200,1049400
2010-11-15,0.279000,0.268200,0.282800,0.268200,0.268200,233700
2010-11-16,0.268200,0.223000,0.275000,0.223000,0.223000,860900
2010-11-17,0.223000,0.211600,0.290000,0.229900,0.229900,866200
2010-11-18,0.229900,0.222100,0.283000,0.267800,0.267800,1025300
2010-11-19,0.267800,0.268200,0.280000,0.280000,0.280000,58300
2010-11-22,0.276700,0.269000,0.287900,0.287900,0.287900,781800
2010-11-23,0.287900,0.276000,0.284500,0.282900,0.282900,136100
